)	392
_	6258
{	3129
}	3129
<	3129
>	3129
0	923
1	1962
2	1932
3	1052
4	923
5	923
6	923
7	923
8	923
9	922
a	6428
ã	2
±	2
b	53
c	3213
d	3154
e	3411
f	29
g	50
h	81
i	3249
j	1
k	35
l	155
m	9430
n	6368
o	6387
p	90
q	2
r	234
s	3259
t	131
u	52
v	20
w	32
x	3
y	73
z	1
